IFAD Option,# of Spots Available ,Students interested in the following career field(s) would most benefit: ,Company/Organization/ Agency Name,Job Title,Website,"Description of Company/Organization/Agency (provided by the host)
",What can you expect from meeting with this host? (provided by the host),Company/Org Physical Address,"Work City, State, Zip Ex: College Park, MD, 20742",DC metro accessible (train or bus) from College Park?,Federal government agency or federal contractor,Require that the student is a US Citizen?,Required to complete and pay for a background check?,What days of the week would work best with your availability?,"Available during Spring Break from March 16-23, 2025.",UMD's Alumni?,Is there any more information you would like to share?
In-person,2,"Government and International Relations,Law and Law Enforcement,Policy and Advocacy, Law",Maryland Courts,Judge,MontgomeryCountyMd@gov,"Circuit Courts are where jury trials are held. Circuit Courts generally handle more serious criminal cases and major civil cases. These include juvenile matters and other family law cases such as divorce, custody and child support. The Circuit Courts hear most cases appealed from the District Court, orphans’ courts, and some administrative agencies. Circuit Courts also hear domestic violence cases. Cases may be decided by juries, but also may be decided by a judge only.
There is a Circuit Court and Clerk's Office in each of Maryland 23 counties and the city of Baltimore.
 ","Welcome to the Circuit Court for Montgomery County, Maryland. Our court is a court of general jurisdiction, with authority to hear certain types of civil and criminal cases. It is the only court in the county authorized to conduct jury trials, and is part of the Sixth Judicial Circuit, comprising Montgomery and Frederick counties.

MISSION
The mission of the Circuit Court is to serve the Sixth Judicial Circuit residents in the determination of litigation in serious criminal matters, substantive civil cases, domestic cases, and child support cases in accordance with the Constitution while administering justice in an honest, fair, and efficient manner.

JURISDICTION
There is a Circuit Court in each Maryland County and Baltimore City. The Circuit Courts of Maryland are divided into eight individual geographical Circuits. The Sixth Judicial Circuit is comprised of Montgomery and Frederick Counties. Montgomery County Circuit Court is located at 50 Maryland Avenue, Rockville, Maryland 20850.

Montgomery County Circuit Court has 24 judges who are appointed by the Governor and then must stand for election. The County Administrative Judge of Montgomery County Circuit Court is also the Administrative Judge for the Sixth Judicial Circuit, which includes Montgomery and Frederick Counties. The duties of the Circuit and County Administrative Judge fall under Rule 16-101 of the Maryland Rules of Procedure. The Administrative Judge is responsible for the administration of justice and the administration of the Circuit Court and the Sixth Judicial Circuit.

The Circuit Court is a trial court of general jurisdiction. Its jurisdiction is very broad but generally covers major civil cases and more serious criminal matters. The Circuit Court also may decide appeals from the District Court and certain administrative agencies. If a person is entitled to or elects a trial by jury, the Circuit Court is the only court to do so in Montgomery County.
",50 Maryland Avenue,Rockville,Yes,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,2,Health and Healthcare,Maryland Oral Surgery Associates,Oral and Maxillofacial Surgeon,www.mosa4os.com,Private Practice in “Oral and Maxillofacial Surgery”,Student will spend the day observing surgeries in the office setting.,6201 Greenbelt Rd. Suite M1,"College Park, Md. 20740",Yes,,,,"Tues,Fri",Yes,Yes,
In-person,2,"Museums and Library Services, History",University of Maryland Libraries,Digitization Services Coordinator,https://www.lib.umd.edu/,"I work in the Digital Collections Unit at the University of Maryland Libraries overseeing the Hornbake Digitization Center (HDC). I partner with the Special Collections libraries on campus to digitize library materials to be made available in an online repository. I work with with a variety of formats including: books, documents, photographs, negatives, art, analog audio, video, and film. I use specialized digitization equipment and software to capture digital surrogates using digitization best practices, augment metadata, and perform quality control. HDC is also responsible for ensuring digital preservation and making collections accessible online for both the UMD community and the general public.","My workday can vary from day to day. In large part, I am responsible for overseeing all in-house digitization projects and researcher digitization requests. This means I spend a lot of my days managing projects or in meetings, oversee students and digitization work, and trouble shooting technical and equipment issues. I also spend time evaluating all the physical materials that come into the office for preservation issues. In addition, I have have a large ongoing project testing and assessing analog audio/visual playback equipment.",4210W Hornbake Library,"College Park, MD 20742",Yes,No,,No,,Yes,No,No
In-person,2,Religious Organization,Pasadena United Methodist Church,Pastor,https://www.pasadeN/Aumchurch.com/,"Pasadena UMC is a traditional protestant church in a suburban setting, with various education, outreach and administrative ministry options.","Interactions with preschool and other church leaders, preparation for weekly worship and outreach ministry and possibly visiting with sick or elderly members",61 Ritchie Hwy,Pasadena MD 21122,No,No,No,No,,Yes,No,
In-person,2,"Science and Research, cancer research/ medical school",University of MD School of Medicine,"Dir, Translational Core Lab",N/A,"Dr. Bret Hassel and I will host 4 students for a half day research experience.  We will tailor the experience based on the students interests. Plan to meet faculty members who conduct varying types of research, medical doctors, graduate students and postdoctoral fellows.","We work in a cancer center with access to faculty members who conduct basic, applied and translational research.  If of interest, the students can meet with bio-informaticist (data science) or medical doctors.  The students will meet with Dr. Hassel and myself as well to discuss career planning, internship opportunities and research experiences.",655 W. Baltimore Street,Baltimore MD 21201,No,,No,,Any weekday (Mon-Fri),Yes,No,
In-person,3,Agriculture/Environment,Kent Soil and Water Conservation District,Conservation Planner,kentsoilandwaterconservationdistrict.org,"Kent Soil and Water Conservation District located in Chestertown Maryland is a mix of state, local, and federal government agencies working together to assist farmers with conservation. Farmers voluntarily come to our office for technical support and access to cost share for addressing resource concerns such as reducing erosion, improving soil health, protecting water quality, managing manure, and enhancing wildlife on farms.","Students will go on a field visit with conservation planner Jenny Freebery to see the conservation planning process of accessing a resource concern, evaluating solutions, and working with the producer to find the right fit for their operation. They will get a chance to talk to employees from MDA, NRCS, FSA, and the soil conservation district. They should be prepared to be outside on farms and wear closed toed shoes and dress for the weather.",122 Speer Road Suite 4,"Chestertown, MD 21620",No,No,,No,Any weekday (Mon-Fri),Yes,Yes,Students need to be able to get to Chestertown MD. There is vitually no public transportation in Kent County.
In-person,3,"Agriculture/Environment, Veterinary",Animal Clinic of Whiteford,Veterinarian,animalclinicofwhiteford.weebly.com,small animal veterinary practice,"preventative health appointments
sick appointments
surgery",2424 Whiteford Road #4,"Whiteford, MD 21160",No,No,,,Any weekday (Mon-Fri),Yes,No,
In-person,3,"Architecture/Real Estate, Project Management",McKissack & McKissack,Architecture Operations Manager,mckinc.com,"McKissack & McKissack is a national architectural, engineering, and construction services firm that has earned a strong reputation for consistently delivering results on time-sensitive, complex, high-profile projects for both government and private sector clients. With over 150 employees, the firm is large and diverse enough to have the full range of technical capabilities to manage our clients’ projects, yet still small enough that each project receives the attention it deserves.","As the Architecture Operations Manager, I can share the experience of how an architecture firm runs day to day. From leadership meetings to managing project and coordinating work across multiple offices.","1050 K Street, NW","Washington, DC, 20001",Yes,No,No,No,,Yes,No,None
In-person,3,"Arts and Entertainment,Business,Consulting,Hospitality and Tourism,NonProfit and Social Services","SAVE The DATE, LLC Events",Founder/Senior Event Planner,Home store and consulting,"Founded in 1994 by Cara and Joel Weiss in Montgomery County, SAVE The DATE, LLC is a proud family-owned business with a rich legacy of excellence in event planning and promotions. Our commitment to delivering exceptional service has earned us numerous accolades, including consecutive honors as the Best Business from Potomac to Rockville, as well as the prestigious Best of Bethesda and Best of Washington Jewish Week awards every year since event planning was included, with our latest accolade in 2024. At SAVE The DATE, we specialize in meticulously planning and coordinating events to ensure our clients' visions come to life seamlessly. Our experienced team collaborates with trusted vendors and leverages cutting-edge technology to streamline the planning process. On the day of the event, we provide comprehensive support, expertly directing all aspects to guarantee a flawless experience. With a dedicated team of over 10 long-term part-time staff members, our passion for event planning shines through in everything we do. Many of our team members consider their roles at SAVE The DATE more than just a job; it's a rewarding side hustle that they proudly showcase on their resumes.","At SAVE The DATE, we pride ourselves on offering affordable planning options that include day-of coordination, discounted invitations, favors, decor, and much more. Our mission is to empower our clients to take control of their event planning journey while providing personalized assistance tailored to their unique needs. As an intern with SAVE The DATE, you will gain invaluable hands-on experience in the world of event planning. You’ll have the opportunity to be on-site during events, where you'll shadow either the owner or a Senior Director, learning directly from seasoned professionals in the field. Most of our events take place on weekends, typically Saturdays and Sundays, so please consider this schedule when applying. This internship promises to be a rewarding and enjoyable experience, albeit with its challenges. You will witness the final event and learn about the entire process—from the initial planning stages to the execution of a successful event. A student from University of Maryland is expected to work a minimum of 4 hours and can extend up to 8 hours at the event, providing ample opportunity for immersive learning. Throughout your time with us, you will acquire essential skills in event production, gaining insights into how it can shape your future career. Additionally, you will delve into business and marketing concepts that are crucial for success in the events industry.",6414 Goldleaf Drive,Bethesda,Yes,No,,No,,Yes,Yes,"Weekend work, must travel to event within DMV area"
In-person,3,"Arts and Entertainment,Computing/Computer Science and Technology ,Engineering,Hospitality and Tourism",The Clarice Smith Performing Arts Center,Operations & Facilities Manager,www.theclarice.umd.edu,"The Clarice Smith Performing Arts Center is the largest building on campus, and is considered by many as one of the best centers on a college campus. It is the home of The School of Theatre, Dance, and Performance Studies, The School of Music, and The Michelle Smith Performing Arts Library.  There are seven performance venues in the building, along with rehearsal and practice studios,  scenic, props, technology, and costume shops, outdoor spaces, a cafe and a bar, and a large pavilion.","I deal with the day-to-day and long-term operations of the building.  This includes using building automation systems for HVAC, lighting control systems, and developing a database to keep track of all the building technical information.  I also interface with the University Facilities Management staff and outside vendors in maintaining, repairing, and upgrading the building systems.  My background in both Theatre and Computer Science gives unique opportunities to explore the world of technology in the Arts.",8270 Alumni Drive,College Park,Yes,No,,,Any weekday (Mon-Fri) : Mornings are best,No,Yes,
In-person,3,Business,Quantum Financial Advisors,President,Www.qfainc.com,Registered financial advisory firm,"Sales , trading or research","51 Monroe street , suite 1902",Rockville Md 20850,Yes,No,,,Open,Yes,Yes,
In-person,3,"Business,Consulting,Sales and Marketing",Northwestern Mutual,Director of Recruitment,https://www.northwesternmutual.com/office/dc/,TBA,"Northwestern Mutual's top tier internship program offers a level of hands-on experience rarely found in the financial services industry. We offer students the opportunity to learn all facets of holistic financial planning to create a well-rounded knowledge of the industry from insurance to wealth management. All interns will experience a real-world business environment while working with experienced financial representatives and will receive guidance through effective mentoring and business coaching to develop their skill set. Along with excellent mentorship and business coaching, the internship also offers the opportunity to directly interact with clients to develop an understanding for client needs, goals and objectives to help find effective solutions for any financial obstacles that could arise. Interns attend the same weekly meetings that full-time advisors do and will be working alongside these same full-time advisors to cultivate an interactive learning experience. They also will be held to similar expectations, to give them a firsthand look into what being an advisor is like with the intention of having them test-drive this career. If you are a highly driven, hardworking individual with a desire to help your community, then this is the right fit for you!",2001 Pennsylvania Avenue NW 20018,"Washington, DC 20006",Yes,No,Yes,No,,Yes,No,
In-person,3,Education,MCPS - Wootton High school,Staff Development Teacher & Social Studies Teacher,https://www.montgomeryschoolsmd.org/schools/woottonhs/,This would be a good look at teaching and leadership roles that exist in education.,"Half of the day is teaching 1 class of US History and 1 academic support class. The other half of the day is spent as staff development teacher, which focuses on school improvement.",2100 Wootton Parkway,"Rockville, MD 20850",Yes,No,No,No,,Yes,Yes,
In-person,3,Engineering,Carter Machinery (CAT),Talent Acquisition,careersatcarter.com,"Carter Machinery is the authorized CAT dealer for the Mid-Atlantic region. While we’re known for our dozers, excavators, and loaders, we’re more than earthmoving equipment. From generator sets to battery energy storage systems to mobile equipment chargers, our power systems products power the world. And as the world’s energy consumption increases, so, too, does our need for world-class Engineering talent. From data centers to microgrids to emergency power, the Power Systems Division at Carter is on the cutting edge of mobile power supply, and offers a number of exciting career options, including Engineering Intern, Sales Engineer, Application Engineer, System Engineer, Project Manager, and more. Join the Carter Machinery team – apply online today at careersatcarter.com!","From data centers to microgrids to emergency power, the Power Systems Division at Carter Machinery is on the cutting edge of mobile power supply. Our Elkridge, MD facility 30 minutes from the University of Maryland is one of our leading power hubs. During Intern for a Day, students will see and understand what it takes to be successful in various engineering careers, such as Application Engineer, Quality Engineer, Sales Engineer, Systems Engineer, Commissioning Manager, Project Manager, and more.",6387 Old Washington Rd.,"Elkridge, MD 21075",Unsure,Yes,Yes,No,,Yes,No,n/a
In-person,3,"Government and International Relations,Policy and Advocacy, Latino/Multicultural Affairs",Prince George’s County Government,Latino Affairs Liaison,https://www.princegeorgescountymd.gov/departments-offices/county-executive/community/office-multicultural-affairs/latino-affairs,"The mission of the Latino Affairs Liaison within the Prince George’s County Office of the County Executive is to serve as a dedicated bridge between the County Executive's office and the vibrant Hispanic/Latino community. This vital role involves: Representation Acting as a representative of the County Executive, the liaison fosters meaningful connections with the Hispanic/Latino community, ensuring their perspectives are accurately conveyed and understood within the county government. Advisory Role Serving as a trusted advisor to the County Executive and Chief of Staff, the liaison provides crucial insights on matters affecting the civic, social, and economic engagement of the Hispanic/Latino community. This advisory function helps shape policies and initiatives that reflect the community's unique needs. Cultural Sensitivity Recognizing the diversity within the Hispanic/Latino community in Prince George’s County, the liaison operates with cultural sensitivity, promoting inclusivity and understanding in all interactions. This ensures that policies and programs are tailored to the specific cultural context of the community. Community Engagement Actively engaging with the Hispanic/Latino community, the liaison works to build trust, facilitate open communication, and address concerns. This includes promoting awareness of county services, resources, and opportunities to enhance community participation. Collaboration Fostering collaboration between the County Executive's office and community organizations, businesses, and leaders, the liaison seeks to create a supportive environment for the community's civic, social, and economic advancement. Overall, the Latino Affairs Liaison champions the interests of the Hispanic/Latino community, contributing to a county government that is responsive, inclusive, and culturally competent. Through advocacy, representation, and collaboration, the liaison strives to enhance the overall well-being and empowerment of the Hispanic/Latino residents in Prince George's County.","A student intern spending a day with me, the Latino Affairs Liaison, would gain an immersive experience that reflects our mission and values. Here’s what they might encounter: Engagement & Representation • Morning Briefing: The day might begin with a briefing where the intern learns about the agenda, priorities, and ongoing projects that impact the Hispanic/Latino community. • Community Engagement: Attend a meeting or event with local organizations, leaders, or residents, where they observe my role as a bridge between the County Executive’s office and the community. • Advisory Work: Participate in discussions where I offer insights to county officials about policies or initiatives affecting the Hispanic/Latino community. Hands-On Learning • Cultural Sensitivity in Action: Assist with reviewing outreach content, or brainstorming ways to make programs more inclusive. • Networking Lunch: Join me at a lunch meeting with community partners or stakeholders, where they can see how I foster collaboration and maintain relationships. Collaboration & Advocacy • Event Preparation: Help organize or attend a community-focused event, like a resource fair, workshop, or cultural celebration, witnessing how I amplify community voices and connect residents with services. • Problem-Solving: Sit in on calls or conversations where I address residents’ concerns or connect them to county resources, showcasing my advocacy role. Reflection & Mentorship • Debriefing Session: Discuss the day’s highlights and challenges and opportunities with the intern, sharing my insights and experiences. • Skill Development: Provide guidance on key skills such as cultural competence, community engagement strategies, and public service communication. • Closing Thoughts: Encourage the intern to share their observations and ask questions about how my role impacts the community and county government. What They’ll Gain • Understanding Our Mission: A deep appreciation for how I champion inclusivity, cultural sensitivity, and community empowerment. • Exposure to Leadership: Insight into the balancing act of representing both the County Executive and the diverse Hispanic/Latino community. • Practical Skills: Hands-on experience in advocacy, event planning, networking, and public service. • Inspiration: A firsthand look at how government can serve as a positive force for change in diverse communities. This experience would leave the intern with a deeper understanding of public service and the vital role of cultural liaisons in shaping responsive and inclusive governance.",1301 McCormick Drive,"Largo, MD, 20774",Unsure,No,No,No,,Yes,No,N/A
In-person,3,"Science and Research, Satellite Oceanography, Earth Science",NOAA/NESDIS,Physical Scientist,N/A,"NOAA/NESDIS is the National Ocean and Atmospheric Administration (NOAA) National Environmental Satellite, Data, and Information Service, which is part of the Department of Commerce.
We operate and manage the United States environmental satellite programs, and manage the data gathered US satellites and other joint collaborative satellite programs. https://www.nesdis.noaa.gov/","Some of the projects I work on include Ocean Sea Surface Temperature, Coral Reef Heat Stress, and phytoplankton ocean color. Get to know more about Earth Science and the 2022 Joint Polar Satellite System (JPSS-2) that was successfully deployed from Vandenberg Space Force Base on Nov. 10, 2022 at 1:49 a.m. Pacific Standard Time (https://www.nesdis.noaa.gov/our-satellites/currently-flying/jpss-2-launch)!",5830 University Research Court,College Park,Yes,Yes,,,"Tues,Wed",Yes,,
In-person,4,"Business,",University of Maryland - Extension,Agent Associate,https://extension.umd.edu/locations/frederick-county/,"The University of Maryland Extension was created to fulfill the land-grant mission of the University's cornerstone college, The College of Agriculture and Natural Resources. The mission of the Agriculture and Food Systems Extension program is to provide research-based educational programming and tailored consulting for agricultural operations across the state. In essence, we support growers decision making when faced with topical challenges including, agricultural production practices, technologies, as well as business management and planning.","Students will be provided a day of hands-on experience working closely with agricultural operations Central Maryland. Students will receive an overview of the storied and noteworthy history of Maryland Agriculture as well as a view of new and emerging challenges. Previously, students joined me for a tour of the Extension office and for farm visits in which we conducted soil tests, met with growers for consolations, and enjoyed a delicious lunch! In truth, my goal is to share the diversity of Central Maryland Agriculture and emphasize the important role of scientific and proven works have on ensuring sustainability.",330 Montevue Lane,"Frederick, MD 21702",No,No,Yes,,Any weekday (Mon-Fri),Yes,Yes,
In-person,4,"Business,Computing/Computer Science and Technology ,Consulting,Cybersecurity,Data Science and Data Analytics,Government and International Relations,Health and Healthcare,Science and Research",Howard County Economic Development Authority,Life Sciences Director,https://www.howardcountyeda.org/,"The Howard County Economic Development Authority (HCEDA) is a dynamic public-private partnership committed to fostering economic growth and innovation in Central Maryland. Through strategic partnerships, HCEDA supports existing and relocating companies with startup resources, market insights and growth opportunities. The HCEDA also works as a liaison, connecting businesses to the public and private economic development and planning organizations and serving as a business advocate for policies that continue to strengthen Howard County’s economy and quality of life. I focus on life science and healthcare innovation companies that are expanding in Howard County.","Interacting with companies that require your assistance bridging technical knowledge of science, AI, and healthcare into actionable business connections. We try to find solutions and provide resources for companies and this includes visiting local companies to better understand their needs. Most of my day is researching resources, meeting with companies, and working on long term creative solutions to enhance business in the life science and health innovation space.",6751 Columbia Gateway Drive Suite 500,"Columbia, MD 21046",No,,No,No,,Yes,Yes,none
In-person,4,"Business,Sales and Marketing, Food service and hospitality",Jas & Fam Caribbean Flavor,CEO,Jasandfamcaribbeanflavor.com,Jamaican take out restaurant created from the inspriration of a mother’s cooking skills. The business was first launched as a food truck and extended it services to a physical restaurant. Our mission is to serve authentic food to one communty at a time with great customer service and incredible food with music.,We will talk about business initial planning. A day working at Jas & Fam Learning the highs and lows of the job Marketing strategies Current ideas to keep the business from failing.,3850 Blenheim Blvd,Fairfax VA 22030,Yes,No,No,No,,Yes,Yes,
In-person,4,Education,"Lucy School, Frederick County",Head of School,https://www.lucyschool.org,Lucy School is an arts-integrated PreK - 8th Grade independent school on a beautiful campus. We have 168 students and environmental sustainability is important to us.,Students could have the opportunity to shadow with a music teacher and/or a second grade teacher. There may be also opportunities to shadow administrators.,9117 Frostown Road,"Middletown, MD 21769",No,No,No,Yes,,Yes,Yes,No
In-person,4,Education,AACPS,Art Dept Chair/Teacher,mycsp.org,"A day in the life of an art teacher. Teaching in not only about presenting information but engaging students and meeting them where they are. Other duties include daily meetings, communication to parents, planning, and building relationships to create a community.",While here you may attend a meeting to discuss best practices for a grade level. Observe classes of various age levels (grades 7-12). Teachers have many unseen duties so the rest depends upon the day.,"Chesapeake Science Point, 7321 Parkway Dr. South","Hanover, MD 21076",Unsure,,No,No,,Yes,Yes,
In-person,4,"Education,NonProfit and Social Services,Sports and Recreation",Little & Junior TrackStars,Regional Operations Manager,Littletrackstars.com,"Little & Junior TrackStars is a youth development program designed to introduce children to the fundamentals of track and field in a fun, supportive, and engaging environment. Through structured training sessions, skill-building activities, and mentorship, we aim to foster a love for physical fitness, teamwork, and personal growth. Our program caters to young athletes at various skill levels, helping them build confidence, discipline, and a strong foundation in athletics. We are seeking passionate and energetic interns to support our coaching staff, assist with program operations, and engage with young athletes. This internship offers hands-on experience in youth sports programming, mentorship, and community engagement, making it an ideal opportunity for individuals interested in coaching, education, or sports management.",Students will be coaching track for 1-3 hours to 10-20 kids.,No physical address,"Laurel, MD 20707",Yes,No,No,Yes,,Yes,No,
In-person,5,"Agriculture/Environment,Government and International Relations,Policy and Advocacy",Baltimore County Office of Agriculture,Agriculture Business Development Specialist Manager,https://www.baltimorecountymd.gov/departments/economic-and-workforce-development/office-agriculture,"The Office of Agriculture (OAG) promotes agriculture as a viable component of the County’s economic sector, through: Consolidating many of the support services for the agricultural community Promotes the future sustainability of the agricultural industry Providing regulatory, marketing and technical assistance to the County’s farmers Serving as a liaison between the agricultural community and the County government Supporting agricultural education and outreach","The Office of Agriculture is a newly established unit in Baltimore County, dedicated to addressing the diverse needs of the agricultural community. Working here is akin to being a real-life Sherlock Holmes, tackling complex and multifaceted agricultural challenges. The daily responsibilities are dynamic and ever-evolving. Located at the Baltimore County Center for Maryland Agriculture, the Office collaborates regularly with County, State, and Federal partners within the central building. The range of responsibilities spans from emergency prevention, permitting, and licensing to marketing, financing, and business development. Interns in the Office of Agriculture will have the chance to interact with a variety of agricultural agencies housed in the building, including UMD Extension, USDA-Farm Service Agency, USDA-Natural Resource Conservation Service, Baltimore County Soil Conservation District, and the Baltimore County Department of Planning's Land Preservation Unit. Put on your detective hat and join the Baltimore County Office of Agriculture to explore a wide array of careers in agriculture.","1114 Shawan Road, Suite 123","Cockeysville, Maryland 21030",No,No,No,No,,Yes,Yes,
In-person,5,"Arts and Entertainment,Communications, Journalism, Media","DC Office of Cable Television, Film, Music and Entertainment","Supervisory Television Editor - DC Office of Cable Television, Film, Music & Entertainment",https://entertainment.dc.gov/,"The DC Office of Cable Television, Film, Music and Entertainment is an agency of the Government of the District of Columbia that programs and operates 3 PEG TV Channels in DC: DCN, DKN, DCC, a streaming channel, DCE, and a streaming digital Radio Channel- DC Radio.  We cover Mayoral and governmental press conferences, Council hearings, and events, and also produce, shoot, edit and broadcast a multitude of programming ranging from PSAs, Sports, Entertainment and Performances on a daily basis.  Some of our programming have been nominated and received local Emmy Awards for excellence in production.  A quick visit to https://entertainment.dc.gov/ will show the variety of television programming produced by our agency.  Our agency also is responsible for issuing film permits to outside production companies seeking to film in Washington DC.  We also are responsible for managing the Cable franchises between cable providers and local residents.","Students interested in television production from initial shooting, to production and post-production will experience the full range of the production process here at OCTFM.  We have a large in-house multi-camera studio and several professional editing suites. I am responsible for scheduling the editing assignments for a team of editors and a graphic artist, as well as oversee studio and control room operations on studio productions.  I have in the past, and hope to continue showing students the behind the scenes operations of television productions. I always try to schedule the visits on days when we have in-house productions so students can have the full production experience during their visit here.","1899 9th Streeet, NE",Washington DC 20018,Yes,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,5,"Arts and Entertainment,Education",Spanish Education Development (SED) Center,Volunteer Program Director,www.sedcenter.org,"The SED Center provides bilingual, high-quality academic programs to Washington D.C. residents mostly from low-income backgrounds, empowering them to navigate the district's professional and social environment by building the knowledge, skills, and confidence that can help them lead rewarding lives.","Interns will help classroom teachers supervise children, prepare educational materials, and assist during mealtimes. Students interact with children by reading stories, teaching and playing games and songs, and working with children in small group activities designed by the teachers. The students will have the opportunity to connect with the community and make it a better place. Even helping with the smallest tasks can make a real difference to the lives of the children. To practice important skills used in the workplace, such as teamwork, communications, problem solving, and a project planning. Also to help them build upon skills they already have and use them to benefit our community.",4110 Kansas Avenue,"Washington, DC 20011",Yes,,No,Yes,,Yes,No,No
In-person,5,"Business,Education",Rocketship Public schools,Business Operations Manager,https://www.rocketshipschools.org/,I work in a elementary school setting as the operations director. I take lead of all things not curriculum.,The operations side of a organization,5450 3rd street,Washington dc 20011,Yes,No,,No,,Yes,No,
In-person,5,Education,Creative City Public Charter School,Principal and Executive Director,Www.creativecityschool.org,"At Creative City Public Charter School, we embrace an educational philosophy that centers on place-based education, arts integration, play-based learning, and cooperative community involvement. By leveraging our local community and environment, our students engage in meaningful, experience-based learning that deepens their understanding of Baltimore and its unique characteristics. We integrate visual, musical, and performing arts into all subjects to promote creativity, collaboration, and deep conceptual learning. Play is a critical component, especially in Kindergarten, where child-directed activities foster skill-building and social development. Our commitment to being a strong community school is reflected in our partnerships and inclusive decision-making processes, where parents, teachers, and students work together to shape our school’s culture and curriculum.",Interns will shadow teachers s they engage in their instructional practices OR shadow a related services provider such as a social worker or community school coordinator as they support the wellness needs of the students and school community.,2810 Shirley Ave,"Baltimore, MD 21215",No,,No,No,,Yes,Yes,"If a background check is required, we will pay for it."
In-person,5,"Education,Sports and Recreation","Prince George's County Public Schools, Eleanor Roosevelt High School",Teacher,www.pgcps.org,Our school is a large public high school with an eclectic population. We teach six periods a day and students have eight classes per day.,"Students will experience the life of a teacher. Teaching six classes per day, planning lessons, grading, and interacting with students throughout the school day. Specifically, I teach ninth and twelfth grade and have an ESOL population of students as well.",7601 Hanover Pkwy,"Greenbelt, MD 20770",Yes,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,5,Sports and Recreation,Onelife Fitness (Explosive Performance),Regional Director,explosiveperformance.com,"The Explosive Performance Difference Better training, makes better athletes. Our elite coaches get the best education, equipment, and methods to help our athletes safely and efficiently realize their athletic potential. We assess the needs of each individual athletes and customize their training to systematically enhance their abilities. Our intense focus on proper form ensures maximum results and helps avoid common sports injuries. Whatever your sport or goal, trust our Explosive Performance experts to help you train smarter by using the same scientifically proven methods of Olympians and Professional athletes.",Students will learn what goes into creating an athlete training session & watch as we implement this programming with our groups.,1800 Old Meadow Rd,McLean VA 22102,Yes,Yes,Yes,No,,Yes,No,
In-person,6,"Agriculture/Environment,Education,Health and Healthcare,NonProfit and Social Services, Youth Development",Great Kids Farm of Baltimore City Schools,Farm to School Specialist,https://www.baltimorecityschools.org/page/farm-school,"Great Kids Farm is a 33-acre living, working farm that educates students of all ages about healthy eating, sustainable agriculture, and the natural sciences. Great Kids Farm connects young people in Baltimore City Public Schools (City Schools) to the soil, plants, and animals that nourish their bodies and provide their food. Through hands-on experiences, students and teachers use Great Kids Farm to bring classroom lessons to life.","Students will get to volunteer with our on-farm field trip, or in-class programs at Baltimore City Schools.",6601 Baltimore National Pike,"Catonsville, MD 21228",No,No,No,No,Any weekday (Mon-Fri),Yes,Yes,
In-person,6,"Education,NonProfit and Social Services Applied Behavior Analysis, Psychology, Special Education",Ivymount,Clinical Coordinator (in-person),www.ivymount.org,"The Ivymount Organization, is a nonprofit organization that provides trusted educational, therapeutic, and professional services and products that invest in the abilities of neurodivergent children and young adults.  

For six decades, Ivymount School has been a pioneer in special education, developing innovative and comprehensive programs and services. We nurture student achievement and autonomy to help our learners live their most meaningful lives. Since our founding, Ivymount School has served more than 8,000 students through our unique blend of individualized, evidence-based student support, innovative staff committed to growing the field of special education, and our caring community of families and partners.

Our diverse student body of approximately 200 students includes autistic individuals and individuals with other developmental disabilities, intellectual and learning disabilities, other health impairments, specific learning disabilities, and speech and language impairments.  

In addition to creating our own education and outreach programs, the Ivymount Organization forms partnerships with outside organizations and researchers, provides training and practicum, and contributes to special education best practices and thought leadership. 
","Do you have an interest in working with neurodiverse children/young adults, or in the fields of psychology (Applied Behavior Analysis) and/or Special Education? The Ivymount School is a renowned nonpublic special education day school for students with autism and related disorders, kindergarten through age 21.  Ivymount provides staff with exceptional training and opportunities for professional growth in the areas of special education, psychology, and applied behavior analysis.   Come spend a day at Ivymount and see first hand the impact you can have as an ABA Therapist in one of our classrooms.  You will have the opportunity to spend time observing in our classrooms and to hear more about our extensive staff training model and opportunities available for recent college graduates.",11614 Seven Locks Rd.,"Rockville, MD 20854",No,,No,,Any weekday (Mon-Fri),Yes,No,
In-person,7,"Consulting,Government and International Relations, Acquisitions, Procurement, Contracts",U.S. Census Bureau,Supervisory Management & Program Analyst,www.census.gov,"The U.S. Census Bureau according to the U.S. Constitution, conducts a Decennial Census every 10 years. Learn how this process takes place which is the largest non-wartime deployment the government undertakes.",Students will learn about the Decennial Census and the major multi million dollar contracts that are awarded to help make the census work.,"4600 Silver Hill Rd Suitland, MD 20746","Suitland, MD 20746",Yes,Yes,Yes,No,,Yes,No,Would prefer to take 7 students at one time.
